W_Account.15000,W_User.18,Partner,2719000,6 Sunfield Pass,Madison,WI,53779,USA,Environmental,Jaloo,148,Public,1-(608)345-1621,Hot,Small Business,2003
W_Account.15001,W_User.17,Partner,3518000,52 Sycamore Road,New York City,NY,10120,USA,Financial Services,Avaveo,230,Public,1-(212)507-1809,Warm,Small Business,1914
W_Account.15002,W_User.12,Inbound Call,1999000,64927 Carey Junction,Newport Beach,CA,92662,USA,Communications,Rhyloo,194,Other,1-(949)469-4547,Hot,Small Business,1905
W_Account.15003,W_User.20,Data.com,3663000,73572 Sundown Road,Anchorage,AK,99517,USA,Energy,Jaxspan,445,Public,1-(907)614-4327,Hot,Small Business,1882
W_Account.15004,W_User.2,Inbound Call,2819000,731 Reindahl Hill,Sacramento,CA,95818,USA,Manufacturing,Chatterbridge,171,Private,1-(530)189-1423,Warm,Mid-Market,1893
W_Account.15005,W_User.7,Cold Call,3974000,238 Dovetail Terrace,Houston,TX,77271,USA,Government,Bubblebox,248,Private,1-(713)687-1125,Cool,Small Business,1918
W_Account.15006,W_User.14,Marketing Event,3339000,5 Weeping Birch Road,Springfield,MO,65810,USA,Electronics,Gigabox,198,Public,1-(417)406-4747,Cool,Small Business,1967
W_Account.15007,W_User.19,Social Media,2953000,9 Portage Circle,Gainesville,GA,30506,USA,Communications,Wikizz,160,Public,1-(404)710-8026,Cool,Small Business,1925
W_Account.15008,W_User.6,Community,2074000,0844 Declaration Place,Saginaw,MI,48604,USA,Not For Profit,Twitterwire,156,Public,1-(989)701-9849,Hot,Small Business,1898
W_Account.15009,W_User.1,Data.com,2676000,9 Pepper Wood Hill,Washington,DC,20520,USA,Engineering,Katz,134,Subsidiary,1-(202)205-4249,Warm,Small Business,1885
W_Account.15010,W_User.12,Partner,2470000,278 Shelley Street,Pueblo,CO,81005,USA,Agriculture,Kamba,233,Private,1-(719)556-5645,Warm,Small Business,1884
W_Account.15011,W_User.17,Inbound Call,2530000,81 Maywood Terrace,Flint,MI,48505,USA,Biotechnology,Blognation,188,Private,1-(810)962-3988,Warm,Mid-Market,1919
W_Account.15012,W_User.10,Community,3048000,34792 Hermina Drive,Jamaica,NY,11407,USA,Utilities,Myworks,192,Private,1-(516)729-0836,Warm,Small Business,1927
W_Account.15013,W_User.5,Inbound Call,2018000,7717 Eastlawn Circle,Phoenix,AZ,85045,USA,Energy,Topicblab,120,Public,1-(480)883-1723,Warm,Small Business,1941
W_Account.15014,W_User.16,Partner,3062000,01046 Rusk Circle,Tulsa,OK,74133,USA,Retail,Edgetag,167,Private,1-(918)399-0259,Cool,Small Business,1985
W_Account.15015,W_User.17,Partner,2594000,26317 Ridgeview Avenue,Iowa City,IA,52245,USA,Telecommunications,Voomm,238,Subsidiary,1-(319)545-5191,Hot,Small Business,1899
