Case_23041,W_User.11,2016-09-20,Status,New,Waiting on Customer
Case_23041,W_User.11,2016-10-01,Status,Waiting on Customer,Working
Case_23041,W_User.11,2016-10-16,Status,Working,Escalated
Case_23041,W_User.11,2016-11-13,Status,Escalated,Working
Case_23041,W_User.11,2016-11-23,Status,Working,On Hold
Case_23041,W_User.11,2016-12-04,Status,On Hold,Working
Case_23041,W_User.11,2016-12-07,Status,Working,Waiting on Customer
Case_23041,W_User.11,2016-12-09,Status,Waiting on Customer,Closed
Case_23042,W_User.13,2016-09-28,created,,
Case_23042,W_User.13,2016-09-28,Status,,New
Case_23042,W_User.13,2016-12-09,Status,New,Closed
Case_23043,W_User.8,2016-11-27,created,,
Case_23043,W_User.8,2016-11-27,Status,,New
Case_23043,W_User.8,2016-12-09,Status,New,Closed
Case_23044,W_User.7,2016-08-11,created,,
Case_23044,W_User.7,2016-08-11,Status,,New
Case_23044,W_User.7,2016-12-09,Status,New,Closed
Case_23045,W_User.20,2016-10-22,created,,
Case_23045,W_User.20,2016-10-22,Status,,New
Case_23045,W_User.20,2016-10-25,Status,New,Working
Case_23045,W_User.20,2016-11-20,Status,Working,Waiting on Customer
Case_23045,W_User.20,2016-11-26,Status,Waiting on Customer,Working
Case_23045,W_User.20,2016-12-09,Status,Working,Closed
Case_23046,W_User.13,2016-09-28,created,,
Case_23046,W_User.13,2016-09-28,Status,,New
Case_23046,W_User.13,2016-12-09,Status,New,Closed
Case_23047,W_User.2,2016-10-22,created,,
Case_23047,W_User.2,2016-10-22,Status,,New
Case_23047,W_User.2,2016-12-09,Status,New,Closed
Case_23048,W_User.6,2016-11-03,created,,
Case_23048,W_User.6,2016-11-03,Status,,New
Case_23048,W_User.6,2016-11-06,Status,New,Working
Case_23048,W_User.6,2016-11-26,Status,Working,Waiting on Customer
Case_23048,W_User.6,2016-12-08,Status,Waiting on Customer,Working
Case_23048,W_User.6,2016-12-09,Status,Working,Closed
Case_23049,W_User.9,2016-09-04,created,,
Case_23049,W_User.9,2016-09-04,Status,,New
Case_23049,W_User.9,2016-12-09,Status,New,Closed
Case_23050,W_User.13,2016-11-03,created,,
Case_23050,W_User.13,2016-11-03,Status,,New
Case_23050,W_User.13,2016-11-19,Status,New,On Hold
Case_23050,W_User.13,2016-12-06,Status,On Hold,Escalated
Case_23050,W_User.13,2016-12-09,Status,Escalated,Closed
Case_23051,W_User.12,2016-11-03,created,,
Case_23051,W_User.12,2016-11-03,Status,,New
Case_23051,W_User.12,2016-11-03,Status,New,Working
Case_23051,W_User.12,2016-11-23,Status,Working,Waiting on Customer
Case_23051,W_User.12,2016-11-30,Status,Waiting on Customer,Working
Case_23051,W_User.12,2016-12-09,Status,Working,Closed
Case_23052,W_User.4,2016-11-27,created,,
Case_23052,W_User.4,2016-11-27,Status,,New
Case_23052,W_User.4,2016-12-09,Status,New,Closed
Case_23053,W_User.10,2016-09-16,created,,
Case_23053,W_User.10,2016-09-16,Status,,New
Case_23053,W_User.10,2016-10-05,Status,New,Working
Case_23053,W_User.10,2016-10-31,Status,Working,On Hold
Case_23053,W_User.10,2016-11-12,Status,On Hold,Waiting on Customer
Case_23053,W_User.10,2016-11-28,Status,Waiting on Customer,Escalated
Case_23053,W_User.10,2016-12-01,Status,Escalated,On Hold
Case_23053,W_User.10,2016-12-01,Status,On Hold,Working
Case_23053,W_User.10,2016-12-09,Status,Working,Closed
Case_23054,W_User.18,2016-11-03,created,,
Case_23054,W_User.18,2016-11-03,Status,,New
Case_23054,W_User.18,2016-11-13,Status,New,Escalated
Case_23054,W_User.18,2016-11-17,Status,Escalated,On Hold
Case_23054,W_User.18,2016-12-03,Status,On Hold,Working
Case_23054,W_User.18,2016-12-09,Status,Working,Closed
Case_23055,W_User.14,2016-11-03,created,,
Case_23055,W_User.14,2016-11-03,Status,,New
Case_23055,W_User.14,2016-12-09,Status,New,Closed
Case_23056,W_User.10,2016-10-10,created,,
Case_23056,W_User.10,2016-10-10,Status,,New
Case_23056,W_User.10,2016-10-11,Status,New,On Hold
Case_23056,W_User.10,2016-11-04,Status,On Hold,Escalated
Case_23056,W_User.10,2016-11-19,Status,Escalated,Waiting on Customer
Case_23056,W_User.10,2016-11-30,Status,Waiting on Customer,Working
Case_23056,W_User.10,2016-12-04,Status,Working,Waiting on Customer
Case_23056,W_User.10,2016-12-09,Status,Waiting on Customer,Closed
Case_23057,W_User.19,2016-11-15,created,,
Case_23057,W_User.19,2016-11-15,Status,,New
Case_23057,W_User.19,2016-12-09,Status,New,Closed
Case_23058,W_User.15,2016-08-23,created,,
Case_23058,W_User.15,2016-08-23,Status,,New
Case_23058,W_User.15,2016-12-09,Status,New,Closed
Case_23059,W_User.8,2016-10-22,created,,
Case_23059,W_User.8,2016-10-22,Status,,New
Case_23059,W_User.8,2016-12-09,Status,New,Closed
Case_23060,W_User.15,2016-08-23,created,,
Case_23060,W_User.15,2016-08-23,Status,,New
Case_23060,W_User.15,2016-09-02,Status,New,On Hold
Case_23060,W_User.15,2016-10-01,Status,On Hold,Working
Case_23060,W_User.15,2016-10-20,Status,Working,On Hold
Case_23060,W_User.15,2016-11-13,Status,On Hold,Escalated
Case_23060,W_User.15,2016-12-09,Status,Escalated,Closed
Case_23061,W_User.7,2016-09-04,created,,
Case_23061,W_User.7,2016-09-04,Status,,New
Case_23061,W_User.7,2016-12-09,Status,New,Closed
Case_23062,W_User.10,2016-10-22,created,,
Case_23062,W_User.10,2016-10-22,Status,,New
Case_23062,W_User.10,2016-10-22,Status,New,Escalated
Case_23062,W_User.10,2016-11-14,Status,Escalated,Working
Case_23062,W_User.10,2016-12-05,Status,Working,Waiting on Customer
Case_23062,W_User.10,2016-12-09,Status,Waiting on Customer,Closed
Case_23063,W_User.20,2016-09-04,created,,
Case_23063,W_User.20,2016-09-04,Status,,New
Case_23063,W_User.20,2016-12-09,Status,New,Closed
Case_23064,W_User.20,2016-11-27,created,,
Case_23064,W_User.20,2016-11-27,Status,,New
